"date","Qobs","Qsim","Qsim_cbias","Qsim_rf_cbias"
"1987-12-20","0.7","0.30571153","0.635481250062202","0.649376666666666"
"1987-12-21","0.9","0.2963752","0.630119581503035","0.781353333333331"
"1987-12-22","0.7","0.31543066","0.641049382351143","0.650069999999998"
"1987-12-23","0.7","0.35875451","0.665829903484459","0.679143333333332"
"1987-12-24","0.1","0.34139272","0.655892938309974","0.367193333333332"
"1987-12-25","1.4","0.31268268","0.639476160948511","0.962229999999999"
"1987-12-26","1.6","0.27828552","0.619679021521735","1.08681"
"1987-12-27","0.1","0.26028474","0.609209716156891","0.353329999999999"
"1987-12-28","0.7","0.31975261","0.643522312345017","0.645196666666664"
"1987-12-29","0.7","0.4365925","0.711273153099578","0.681863333333332"
"1987-12-30","0.7","0.33670598","0.653213876726769","0.660799999999999"
"1987-12-31","0.1","0.299397","0.631856587611724","0.370729999999999"
